Wed Jul 13 16:41:56 2022    output.dat

         3523631 function calls (3518926 primitive calls) in 25.466 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\game_map.py:78(get_actor_at_location)
      101    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\event.py:988(ev_keyup)
       59    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
      246    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      118    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:1052(_heuristic)
        2    0.000    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\console.py:1270(load_xp)
       63    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\components\bodyparts.py:47(engine)
        1    0.000    0.000    0.136    0.136 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\context.py:400(new)
       58    0.000    0.000    0.000    0.000 {built-in method _bisect.bisect_right}
        1    0.000    0.000   25.466   25.466 {built-in method builtins.exec}
       59    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      197    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {built-in method numpy.frombuffer}
      118    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       68    0.000    0.000    0.000    0.000 C:\Program Files\Python38\lib\enum.py:644(__reduce_ex__)
      118    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\core\fromnumeric.py:597(_transpose_dispatcher)
        1    0.000    0.000    0.001    0.001 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\tileset.py:326(load_tilesheet)
        2    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\console.py:181(_init_setup_console_data)
       16    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\actions.py:97(perform)
      118    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        2    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\console.py:155(_from_cdata)
