Wed Jul 13 16:41:56 2022    output.dat

         3523631 function calls (3518926 primitive calls) in 25.466 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      339    0.000    0.000    3.107    0.009 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\input_handlers.py:159(on_render)
      339    2.199    0.006    3.031    0.009 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\game_map.py:89(render)
      339    0.000    0.000    0.000    0.000 {method 'capitalize' of 'str' objects}
      339    0.004    0.000    0.018    0.000 {built-in method builtins.sorted}
  298/239    0.001    0.000    0.005    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      290    0.002    0.000    0.005    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\actions.py:177(perform)
      270    0.001    0.000    0.001    0.000 {built-in method numpy.empty}
      270    0.000    0.000    0.000    0.000 {method 'from_buffer' of '_cffi_backend.FFI' objects}
      267    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      260    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\entity.py:50(move)
   246/71    0.001    0.000    0.008    0.000 C:\Program Files\Python38\lib\copy.py:257(_reconstruct)
      246    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      237    0.001    0.000    0.004    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\actions.py:66(blocking_entity)
      237    0.001    0.000    0.011    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\actions.py:196(perform)
      237    0.002    0.000    0.004    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\input_handlers.py:165(ev_keydown)
      217    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\level_generator.py:211(<genexpr>)
      209    0.001    0.000    0.001    0.000 C:\Program Files\Python38\lib\typing.py:865(__new__)
      208    0.005    0.000    0.009    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\map.py:171(compute_fov)
      208    0.002    0.000    0.002    0.000 {built-in method tcod._libtcod.TCOD_map_compute_fov}
      208    0.003    0.000    0.012    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\engine.py:56(update_fov)
      208    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\input_handlers.py:119(__init__)
      207    0.002    0.000    0.039    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\engine.py:48(handle_enemy_turns)
   197/71    0.001    0.000    0.007    0.000 C:\Program Files\Python38\lib\copy.py:225(_deepcopy_dict)
      197    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      181    0.000    0.000    0.000    0.000 C:\Program Files\Python38\lib\copyreg.py:90(__newobj__)
      181    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      181    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      179    0.000    0.000    0.000    0.000 {method 'cast' of '_cffi_backend.FFI' objects}
      177    0.001    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:317(_export_dict)
      177    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:586(<genexpr>)
      177    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:886(<genexpr>)
      164    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      120    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      118    0.000    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\core\fromnumeric.py:38(_wrapit)
      118    0.000    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
      118    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\core\fromnumeric.py:597(_transpose_dispatcher)
